store_name,menu_name,category,price,calories,carbs,sugars,protein,fat,saturated_fat,trans_fat,cholesterol,sodium,caffeine,allergens_scraped
Lotteria,데리버거,버거메뉴,3300,348,0,10,12,0,4.9,0,0,590,0,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(가리비)"
Lotteria,더블 데리버거,버거메뉴,3300,446,0,10,19,0,7.0,0,0,740,0,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(가리비)"
Lotteria,모짜렐라버거 발사믹바질,버거메뉴,6800,737,0,10,27,0,18.0,0,0,1060,0,"달걀, 밀, 대두, 우유, 쇠고기, 토마토, 아황산류"
Lotteria,모짜렐라버거 토마토바질,버거메뉴,6200,737,0,10,27,0,18.0,0,0,1110,0,"달걀, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토"
Lotteria,더블 치킨버거,버거메뉴,4000,478,0,11,24,0,5.0,0,0,950,0,"달걀, 밀, 대두, 우유, 닭고기, 땅콩, 조개류(가리비)"
Lotteria,더블 클래식치즈버거,버거메뉴,5200,731,0,6,25,0,25.0,0,0,1110,0,"달걀, 밀, 대두, 우유, 쇠고기"
Lotteria,더블한우불고기버거,버거메뉴,3100,802,0,18,39,0,20.0,0,0,1150,0,"달걀, 밀, 대두, 우유, 쇠고기, 토마토"
Lotteria,더블엑스투버거,버거메뉴,6800,716,0,7,25,0,25.0,0,0,1070,0,"달걀, 밀, 대두, 우유, 쇠고기, 토마토"
Lotteria,리아 불고기,버거메뉴,4700,462,0,11,21,0,11.0,0,0,880,0,"밀, 대두, 달걀, 우유, 쇠고기, 토마토, 돼지고기, 닭고기"
Lotteria,리아 불고기 더블 (빅불),버거메뉴,4700,721,0,12,38,0,24.0,0,0,1480,0,"밀, 대두, 달걀, 우유, 쇠고기, 토마토, 돼지고기, 닭고기"
