store_name,menu_name,category,price,calories,carbs,sugars,protein,fat,saturated_fat,trans_fat,cholesterol,sodium,caffeine,allergens_scraped
McDonalds,에그 맥머핀,단품,4900,303,0,3,18,0,5,0,0,677,0,
McDonalds,베이컨 에그 맥머핀,단품,5300,327,0,3,19,0,5.9,0,0,687,0,
McDonalds,베이컨 토마토 에그 머핀,단품,5500,338,0,5,16,0,3.5,0,0,631,0,
McDonalds,소시지 에그 맥머핀,단품,5000,432,0,3,23,0,9,0,0,835,0,
McDonalds,디럭스 브렉퍼스트,단품,5400,766,0,11,28,0,8,0,0,1361,0,
McDonalds,핫케익 2조각,단품,4800,223,0,8,6,0,1.1,0,0,343,0,
McDonalds,핫케익 3조각,단품,5500,335,0,12,9,0,1.7,0,0,514,0,
McDonalds,치킨 치즈 머핀,단품,5100,506,0,3,25,0,5,0,0,1213,0,
McDonalds,크리스마스 트러플 치즈 머핀,단품,5200,476,0,8,16,0,8,0,0,1147,0,
McDonalds,골든 모짜렐라 치즈스틱 4조각,스낵 & 사이드,2400,330,0,2,16,0,8.4,0,0,0,0,
McDonalds,골든 모짜렐라 치즈스틱 2조각,스낵 & 사이드,2400,165,0,1,8,0,4.2,0,0,0,0,
McDonalds,해쉬 브라운,스낵 & 사이드,2700,162,0,0,2,0,0.8,0,0,345,0,
McDonalds,코울슬로,스낵 & 사이드,2300,179,0,18,1,0,1,0,0,307,0,
McDonalds,상하이 치킨 스낵랩,스낵 & 사이드,2700,303,0,3,12,0,3.7,0,0,812,0,
McDonalds,치킨모짜렐라스낵랩,스낵 & 사이드,2300,365,0,7,14,0,4.8,0,0,912,0,
McDonalds,맥너겟® 4조각,스낵 & 사이드,2600,163,0,0,10,0,1.1,0,0,369,0,
McDonalds,맥너겟® 6조각,스낵 & 사이드,2600,244,0,0,15,0,1.6,0,0,553,0,
McDonalds,맥스파이시® 치킨텐더 2조각,스낵 & 사이드,2200,197,0,0,15,0,0.9,0,0,744,0,
McDonalds,후렌치 후라이 스몰,스낵 & 사이드,2200,210,0,0,3,0,0.7,0,0,183,0,
McDonalds,후렌치 후라이 미디엄,스낵 & 사이드,2200,324,0,0,5,0,1,0,0,282,0,
McDonalds,후렌치 후라이 라지,스낵 & 사이드,2200,397,0,0,7,0,1.3,0,0,346,0,
McDonalds,디핑 소스 스위트 앤 사워,스낵 & 사이드,2000,40,0,8,0,0,0,0,0,138,0,
McDonalds,디핑 소스 스위트 칠리,스낵 & 사이드,2600,52,0,9,0,0,0,0,0,204,0,
McDonalds,디핑 소스 케이준,스낵 & 사이드,2300,79,0,2,0,0,1.1,0,0,124,0,
McDonalds,맥윙™ 2조각,스낵 & 사이드,2400,245,0,0,15,0,3,0,0,678,0,
McDonalds,맥윙™ 4조각,스낵 & 사이드,2700,490,0,0,30,0,6,0,0,1355,0,
McDonalds,맥윙™ 8조각,스낵 & 사이드,2000,979,0,0,59,0,12,0,0,2711,0,
McDonalds,맥윙™ 2조각 콤보,스낵 & 사이드,9600,0,0,0,0,0,0,0,0,0,0,
McDonalds,맥윙™ 4조각 콤보,스낵 & 사이드,9100,0,0,0,0,0,0,0,0,0,0,
McDonalds,오레오 맥플러리,디저트,4600,332,0,36,6,0,5.3,0,0,179,0,
McDonalds,딸기 오레오 맥플러리,디저트,5100,304,0,38,5,0,4.6,0,0,138,0,
McDonalds,초코 오레오 맥플러리,디저트,4700,389,0,45,7,0,8,0,0,218,0,
McDonalds,베리 스트로베리 맥플러리,디저트,5200,325,0,38,5,0,5,0,0,228,0,
McDonalds,스트로베리콘,디저트,4500,142,0,16,3,0,2.5,0,0,96,0,
McDonalds,아이스크림콘,디저트,5100,146,0,15,3,0,2.5,0,0,67,0,
McDonalds,초코 선데이 아이스크림,디저트,5200,323,0,39,6,0,8,0,0,170,0,
McDonalds,딸기 선데이 아이스크림,디저트,5100,277,0,41,5,0,3.9,0,0,96,0,
McDonalds,바닐라 선데이 아이스크림,디저트,5200,201,0,24,4,0,3.9,0,0,83,0,
McDonalds,애플 파이,디저트,5200,236,0,9,3,0,2.9,0,0,199,0,
McDonalds,에그 맥머핀,해피밀,5300,0,0,0,0,0,0,0,0,0,0,
McDonalds,핫케익,해피밀,5500,0,0,0,0,0,0,0,0,0,0,
McDonalds,베이컨 에그 맥머핀,해피밀,5000,0,0,0,0,0,0,0,0,0,0,
McDonalds,소시지 에그 맥머핀,해피밀,4500,0,0,0,0,0,0,0,0,0,0,
McDonalds,해피밀 햄버거,해피밀,2500,0,0,0,0,0,0,0,0,0,0,
McDonalds,해피밀 맥너겟® 4조각,해피밀,2600,0,0,0,0,0,0,0,0,0,0,
McDonalds,해피밀 불고기버거,해피밀,3100,0,0,0,0,0,0,0,0,0,0,
McDonalds,해피밀 치즈버거,해피밀,2700,0,0,0,0,0,0,0,0,0,0,
McDonalds,해쉬 브라운,해피밀(옵션),5100,162,0,0,2,0,0.8,0,0,345,0,
McDonalds,후룻볼 파인애플,해피밀(옵션),5500,75,0,14,1,0,0,0,0,0,0,
McDonalds,오렌지 주스 캔,해피밀(옵션),5100,56,0,11,0.9,0,0,0,0,47,0,
McDonalds,해쉬 브라운,해피밀(옵션),4900,162,0,0,2,0,0.8,0,0,345,0,
McDonalds,후룻볼 파인애플,해피밀(옵션),4900,75,0,14,1,0,0,0,0,0,0,
McDonalds,오렌지 주스 캔,해피밀(옵션),4900,56,0,11,0.9,0,0,0,0,47,0,
McDonalds,코카 콜라® 미디엄,음료,1600,133,0,34,0,0,0,0,0,9,0,
McDonalds,코카 콜라® 라지,음료,1600,185,0,46,0,0,0,0,0,13,0,
McDonalds,코카 콜라® 제로 미디엄,음료,1600,0,0,0,0,0,0,0,0,34,0,
McDonalds,코카 콜라® 제로 라지,음료,1600,0,0,0,0,0,0,0,0,47,0,
McDonalds,환타® 미디엄,음료,2500,62,0,16,0,0,0,0,0,16,0,
McDonalds,환타® 라지,음료,2000,86,0,22,0,0,0,0,0,22,0,
McDonalds,스프라이트® 미디엄,음료,2400,140,0,35,0,0,0,0,0,28,0,
McDonalds,스프라이트® 라지,음료,1900,194,0,49,0,0,0,0,0,39,0,
McDonalds,카페라떼 미디엄,음료,2200,149,0,9,8,0,4.6,0,0,79,131,
McDonalds,카페라떼 라지,음료,2000,194,0,14,10,0,6,0,0,105,148,
McDonalds,카푸치노 미디엄,음료,1500,93,0,6,5,0,2.9,0,0,49,123,
McDonalds,카푸치노 라지,음료,2500,120,0,8,7,0,3.5,0,0,79,142,
McDonalds,아메리카노 미디엄,음료,2100,12,0,0,1,0,0,0,0,0,192,
McDonalds,아메리카노 라지,음료,2400,15,0,0,1,0,0,0,0,0,214,
McDonalds,드립 커피 미디엄,음료,2500,10,0,0,1,0,0,0,0,0,163,
McDonalds,드립 커피 라지,음료,1500,12,0,0,1,0,0,0,0,0,206,
McDonalds,아이스 드립 커피 (시럽없음) 미디엄,음료,1500,10,0,0,1,0,0,0,0,0,168,
McDonalds,아이스 드립 커피 (시럽없음) 라지,음료,2500,14,0,0,1,0,0,0,0,0,249,
McDonalds,아이스 아메리카노(시럽없음) 미디엄,음료,1700,9,0,0,1,0,0,0,0,0,119,
McDonalds,아이스 아메리카노(시럽없음) 라지,음료,2200,10,0,0,0,0,0,0,0,0,144,
McDonalds,아이스 카페라떼(시럽없음) 미디엄,음료,1700,108,0,7,5,0,3.2,0,0,50,132,
McDonalds,아이스 카페라떼(시럽없음) 라지,음료,1600,133,0,8,6,0,3.9,0,0,63,136,
McDonalds,딸기 쉐이크 미디엄,음료,1900,367,0,56,9,0,5,0,0,180,0,
McDonalds,초코 쉐이크 미디엄,음료,1600,375,0,55,9,0,5,0,0,235,0,
McDonalds,바닐라 쉐이크 미디엄,음료,2100,366,0,55,9,0,5,0,0,206,0,
McDonalds,바닐라 라떼 미디엄,음료,2100,227,0,28,8,0,4.6,0,0,79,131,
McDonalds,바닐라 라떼 라지,음료,2400,323,0,45,10,0,6,0,0,105,148,
McDonalds,아이스 바닐라 라떼 미디엄,음료,2000,186,0,25,6,0,3.2,0,0,50,132,
McDonalds,아이스 바닐라 라떼 라지,음료,1600,263,0,39,6,0,3.9,0,0,63,136,
McDonalds,피치 아이스티 M,음료,2000,162,0,34,0,0,0,0,0,8,26,
McDonalds,피치 아이스티 L,음료,2500,229,0,48,1,0,0,0,0,11,36,
McDonalds,망고 피치 아이스티 M,음료,2500,216,0,46,0,0,0,0,0,23,24,
McDonalds,망고 피치 아이스티 L,음료,2400,342,0,74,1,0,0,0,0,43,33,
McDonalds,메리 베리 맥피즈 스프라이트 M,음료,2100,163,0,40,0,0,0,0,0,36,0,
McDonalds,메리 베리 맥피즈 스프라이트 L,음료,2400,268,0,65,0,0,0,0,0,59,0,
McDonalds,메리 베리 맥피즈 콜라 M,음료,1600,159,0,38,0,0,0,0,0,22,0,
McDonalds,메리 베리 맥피즈 콜라 L,음료,1600,262,0,63,0,0,0,0,0,41,0,
McDonalds,메리 베리 맥피즈 제로콜라 M,음료,1600,64,0,15,0,0,0,0,0,40,0,
McDonalds,메리 베리 맥피즈 제로콜라 L,음료,1600,128,0,29,0,0,0,0,0,65,0,
McDonalds,디카페인 아메리카노 미디움,음료,1600,12,0,0,1,0,0,0,0,0,6,
McDonalds,디카페인 아메리카노 라지,음료,2300,12,0,0,1,0,0,0,0,4,6,
McDonalds,디카페인 아이스 아메리카노 미디움,음료,1600,8,0,0,1,0,0,0,0,0,4,
McDonalds,디카페인 아메리카노 미디움,음료,1800,12,0,0,1,0,0,0,0,0,6,
McDonalds,디카페인 아메리카노 라지,음료,2200,12,0,0,1,0,0,0,0,4,6,
McDonalds,디카페인 아이스 아메리카노 미디움,음료,2200,8,0,0,1,0,0,0,0,0,4,
McDonalds,디카페인 아이스 아메리카노 라지,음료,2400,10,0,0,1,0,0,0,0,0,5,
McDonalds,디카페인 카페 라떼 미디움,음료,2300,150,0,10,8,0,4.4,0,0,85,4,
McDonalds,디카페인 카페 라떼 라지,음료,2100,190,0,13,10,0,6,0,0,107,5,
McDonalds,디카페인 아이스 카페 라떼 미디움,음료,2300,114,0,7,6,0,3.2,0,0,54,5,
McDonalds,디카페인 아이스 카페 라떼 라지,음료,1600,133,0,8,7,0,3.9,0,0,65,5,
