store_name,menu_name,category,price,calories,carbs,sugars,protein,fat,saturated_fat,trans_fat,cholesterol,sodium,allergens_scraped
Preppers,치킨플레이트,건강식/샐러드,9900,222.0,16.0,0.0,35,2.0,0.0,0.0,0.0,0.0,
Preppers,포크플레이트,건강식/샐러드,10900,244.0,16.0,0.0,36,4.0,0.0,0.0,0.0,0.0,
Preppers,비프플레이트,건강식/샐러드,12900,385.0,16.0,0.0,42,17.0,0.0,0.0,0.0,0.0,
Preppers,치킨데리야끼덮밥,건강식/샐러드,9900,492.0,74.0,0.0,44,4.0,0.0,0.0,0.0,0.0,
Preppers,포크명이나물덮밥,건강식/샐러드,10900,526.0,78.0,0.0,45,6.0,0.0,0.0,0.0,0.0,
Preppers,비프와사비덮밥,건강식/샐러드,12900,630.0,72.0,0.0,51,18.0,0.0,0.0,0.0,0.0,
Preppers,더블치킨데리야기덮밥,건강식/샐러드,9200,613.0,71.0,0.0,71,5.0,0.0,0.0,0.0,0.0,
Preppers,더블포크명이나물덮밥,건강식/샐러드,10900,662.0,71.0,0.0,72,10.0,0.0,0.0,0.0,0.0,
Preppers,더블비프와사비덮밥,건강식/샐러드,12900,953.0,71.0,0.0,84,37.0,0.0,0.0,0.0,0.0,
Preppers,치킨커리덮밥,건강식/샐러드,9200,591.0,88.0,0.0,44,7.0,0.0,0.0,0.0,0.0,
Preppers,포크커리덮밥,건강식/샐러드,9500,622.0,88.0,0.0,45,10.0,0.0,0.0,0.0,0.0,
Preppers,비프커리덮밥,건강식/샐러드,9000,731.0,89.0,0.0,51,19.0,0.0,0.0,0.0,0.0,
Preppers,더블치킨커리덮밥,건강식/샐러드,10000,745.0,88.0,0.0,78,9.0,0.0,0.0,0.0,0.0,
Preppers,더블포크커리덮밥,건강식/샐러드,9600,790.0,87.0,0.0,79,14.0,0.0,0.0,0.0,0.0,
Preppers,더블비프커리덮밥,건강식/샐러드,9200,990.0,86.0,0.0,85,34.0,0.0,0.0,0.0,0.0,
Preppers,치킨샐러드파스타,건강식/샐러드,9900,410.5,54.0,0.0,43,2.5,0.0,0.0,0.0,0.0,
Preppers,포크샐러드파스타,건강식/샐러드,9500,437.0,54.0,0.0,44,5.0,0.0,0.0,0.0,0.0,
Preppers,비프샐러드파스타,건강식/샐러드,12900,578.0,54.0,0.0,50,18.0,0.0,0.0,0.0,0.0,
Preppers,치킨로제샐러드파스타,건강식/샐러드,9500,421.5,49.0,0.0,44,5.5,0.0,0.0,0.0,0.0,
Preppers,포크로제샐러드파스타,건강식/샐러드,9200,448.0,49.0,0.0,45,8.0,0.0,0.0,0.0,0.0,
Preppers,비프로제샐러드파스타,건강식/샐러드,9500,589.0,49.0,0.0,51,21.0,0.0,0.0,0.0,0.0,
Preppers,닭가슴살곰탕고추지,건강식/샐러드,9700,487.0,73.0,0.0,42,3.0,0.0,0.0,0.0,0.0,
Preppers,더블갉가슴살곰탕고추지,건강식/샐러드,9600,621.0,73.0,0.0,71,5.0,0.0,0.0,0.0,0.0,
Preppers,무지방그릭요거트,건강식/샐러드,9400,322.0,50.0,0.0,26,2.0,0.0,0.0,0.0,0.0,
Preppers,프로틴쉐이크,건강식/샐러드,9000,321.0,37.8,0.0,32,6.18,0.0,0.0,0.0,0.0,
