store_name,menu_name,category,price,calories,carbs,sugars,protein,fat,saturated_fat,trans_fat,cholesterol,sodium,allergens_scraped
Salady,탄단지샐러디,건강식/샐러드,8900,322.9,34.3,17.6,17.9,13.1,2.0,0.0,0.0,225.3,
Salady,콥설러디,건강식/샐러드,10000,217.7,7.6,2.9,19.1,12.1,4.0,0.0,0.0,420.3,
Salady,로스트닭다리살샐러디,건강식/샐러드,9900,259.2,29.7,12.2,13.2,9.6,3.9,0.0,0.0,471.9,
Salady,그라브락스연어샐러디,건강식/샐러드,10900,247.3,7.8,5.1,21.0,14.4,2.7,0.0,0.0,505.0,
Salady,노릇두부단호박샐러디,건강식/샐러드,9500,214.6,28.1,12.4,6.8,8.4,1.1,0.0,0.0,214.9,
Salady,질리베이컨포케볼,건강식/샐러드,9300,499.3,62.9,4.7,20.0,18.4,6.0,0.0,0.0,268.1,
Salady,그라브락스연어포케볼,건강식/샐러드,9700,475.4,63.7,4.6,23.3,14.5,3.2,0.0,0.0,577.1,
Salady,로스트삼겹포케볼,건강식/샐러드,9900,577.5,66.2,4.8,20.0,26.6,7.7,0.0,0.0,215.3,
Salady,우삼겹포케몰,건강식/샐러드,10000,632.2,69.2,6.4,22.5,30.2,8.7,0.0,0.0,226.0,
Salady,노릇노릇두부 포케폴,건강식/샐러드,9500,517.4,69.4,5.0,17.0,19.8,2.5,0.0,0.0,61.2,
Salady,바베큐닭다리살 포케볼,건강식/샐러드,9000,571.4,73.7,8.4,27.9,18.1,6.0,0.0,0.0,586.2,
Salady,우삼겹메밀면 누들몰,건강식/샐러드,9300,406.6,36.1,5.0,18.0,21.2,6.1,0.0,0.0,350.3,
Salady,그라브락스 연어 파스타 누들볼,건강식/샐러드,10000,346.2,33.3,3.6,20.0,14.4,2.1,0.0,0.0,609.9,
Salady,고소삼겹 들기름파스타 누들볼,건강식/샐러드,9200,445.3,42.8,2.8,16.0,24.0,5.9,0.0,0.0,369.0,
Salady,비빔메일면 누들볼,건강식/샐러드,9200,235.6,30.0,2.2,13.4,6.6,1.8,0.0,0.0,294.3,
Salady,더블 닭다리살 박스,건강식/샐러드,9700,707.3,77.8,9.9,38.6,26.4,7.0,0.0,0.0,974.0,
Salady,더블 치킨 파스타 박스,건강식/샐러드,9800,601.9,50.0,4.9,44.7,23.3,5.8,0.0,0.0,696.9,
Salady,더블 삼겹 박스,건강식/샐러드,9000,864.8,69.0,5.7,36.1,49.5,12.8,0.0,0.0,549.5,
Salady,더블 우삼겹 박스,건강식/샐러드,10000,797.2,66.2,8.7,36.2,43.2,13.4,0.0,0.0,570.7,
Salady,오코노미야끼st곡물볼,건강식/샐러드,9100,835.5,68.5,11.2,27.4,50.5,11.3,0.0,0.0,850.9,
Salady,야끼소바빵st 치아바타,건강식/샐러드,9200,587.5,76.1,15.5,23.2,21.2,6.9,0.0,0.0,1355.5,
Salady,우삼겹 스프카래,건강식/샐러드,9100,267.4,20.3,6.6,15.4,13.4,5.3,0.0,0.0,1754.2,
Salady,크런치비프 라이트랩,건강식/샐러드,9900,460.8,43.7,15.2,14.8,25.0,7.7,0.0,0.0,540.5,
Salady,스파이시치킨 라이트랩,건강식/샐러드,9000,336.1,51.3,14.5,13.3,8.7,3.7,0.0,0.0,989.0,
Salady,에그마요 랩,건강식/샐러드,5500,661.6,49.7,5.3,19.4,42.8,9.8,0.0,0.0,1054.3,
Salady,멕시간랩,건강식/샐러드,9300,607.4,52.5,10.9,19.4,35.1,9.9,0.0,0.0,931.2,
Salady,시저치킨 랩,건강식/샐러드,6900,500.9,46.2,12.4,21.8,25.7,6.3,0.0,0.0,877.4,
Salady,로스트닭다리살 랩,건강식/샐러드,9000,549.6,46.3,10.3,19.8,31.9,9.2,0.0,0.0,1206.3,
Salady,튜나샐러드,건강식/샐러드,9000,680.8,59.9,20.6,21.4,40.0,7.9,0.0,0.0,1240.4,
Salady,질리베이컨 곡물랩,건강식/샐러드,9200,730.4,75.5,12.9,21.5,37.6,10.9,0.0,0.0,1067.1,
Salady,고소우삼겹 곡물랩,건강식/샐러드,9400,713.1,80.2,6.6,24.3,32.8,9.3,0.0,0.0,1135.8,
Salady,바베큐닭다리살 곡물랩,건강식/샐러드,10000,717.3,76.8,13.5,26.1,34.0,9.7,0.0,0.0,1288.1,
Salady,치킨 치아바타,건강식/샐러드,9600,469.0,60.8,13.3,17.3,17.8,3.4,0.0,0.0,733.8,
Salady,류나 치아바타,건강식/샐러드,9700,625.1,60.3,12.9,28.9,29.1,6.5,0.0,0.0,1212.2,
Salady,비프에그마요 치아바타,건강식/샐러드,5500,712.6,64.9,15.1,25.5,38.6,11.2,0.0,0.0,1047.3,
Salady,바질연어 치아바타,건강식/샐러드,9500,607.5,71.1,17.0,24.9,24.2,4.2,0.0,0.0,1137.0,
Salady,베이컨참봉 치아바타,건강식/샐러드,9800,540.4,53.5,8.2,20.8,26.7,7.2,0.0,0.0,1142.4,
