store_name,menu_name,category,price,calories,carbs,sugars,protein,fat,saturated_fat,trans_fat,cholesterol,sodium,allergens_scraped
Subway,비엘티샌드위치,건강식/샌드위치,6600,300.0,0,7.9,15.9,0,3.7,0,0,666.0,
Subway,치킨데리야끼샌드위치,건강식/샌드위치,7700,314.0,0,10.1,26.5,0,1.2,0,0,698.0,
Subway,에그마요샌드위치,건강식/샌드위치,5500,416.0,0,7.7,16.4,0,4.8,0,0,554.0,
Subway,햄샌드위치,건강식/샌드위치,7200,262.0,0,8.4,19.0,0,1.0,0,0,680.0,
Subway,이탈린안비엠티샌드위치,건강식/샌드위치,7700,388.0,0,8.6,21.0,0,5.9,0,0,1064.0,
Subway,k-바비큐샌드위치,건강식/샌드위치,7000,372.0,0,14.7,25.6,0,2.1,0,0,899.0,
Subway,미트볼샌드위치,건강식/샌드위치,7200,446.0,0,16.8,19.8,0,6.1,0,0,1699.0,
Subway,폴드포크샌드위치,건강식/샌드위치,7900,327.0,0,7.8,24.8,0,2.1,0,0,689.0,
Subway,로스트치킨샌드위치,건강식/샌드위치,7300,300.0,0,8.7,26.0,0,1.3,0,0,605.0,
Subway,로티셰리바비큐치킨샌드위치,건강식/샌드위치,7400,327.0,0,7.8,29.1,0,2.5,0,0,542.0,
Subway,쉬림프샌드위치,건강식/샌드위치,7600,229.0,0,7.8,13.6,0,0.6,0,0,357.0,
Subway,스파이시이탈리안샌드위치,건강식/샌드위치,7400,464.0,0,8.7,20.7,0,9.1,0,0,1250.0,
Subway,스테이크샌드위치,건강식/샌드위치,7300,355.0,0,8.8,28.1,0,4.2,0,0,780.0,
Subway,써브웨이클럽샌드위치,건강식/샌드위치,7100,293.0,0,8.5,19.5,0,2.4,0,0,773.0,
Subway,베지샌드위치,건강식/샌드위치,4900,209.0,0,7.6,9.2,0,0.6,0,0,262.0,
Subway,참치샌드위치,건강식/샌드위치,5800,316.0,0,7.6,26.9,0,1.4,0,0,535.0,
Subway,터키샌드위치,건강식/샌드위치,6200,259.0,0,8.7,18.3,0,0.9,0,0,671.0,
Subway,터키베이컨아보카도샌드위치,건강식/샌드위치,6200,349.0,0,9.0,19.9,0,3.2,0,0,860.0,
Subway,베지아보카도샌드위치,건강식/샌드위치,4900,266.0,0,8.0,9.8,0,1.4,0,0,351.0,
Subway,로스트치킨아보카도샌드위치,건강식/샌드위치,7300,357.0,0,9.1,26.6,0,2.1,0,0,694.0,
Subway,비엘티샐러드,건강식/샌드위치,6600,153.0,0,7.6,9.5,0,2.9,0,0,470.0,
Subway,치킨데리야끼샐러드,건강식/샌드위치,7700,152.0,0,9.7,19.8,0,0.7,0,0,455.0,
Subway,에그마요샐러드,건강식/샌드위치,5500,254.0,0,7.3,9.7,0,4.3,0,0,312.0,
Subway,햄샐러드,건강식/샌드위치,7800,99.5,0,8.0,12.3,0,0.5,0,0,428.0,
Subway,이탈리안비엠티샐러드,건강식/샌드위치,6700,226.0,0,8.2,14.3,0,5.4,0,0,822.0,
Subway,k-바비큐샐러드,건강식/샌드위치,7800,210.0,0,14.3,18.9,0,1.6,0,0,657.0,
Subway,미트볼샐러드,건강식/샌드위치,7800,284.0,0,16.4,13.1,0,5.6,0,0,1457.0,
Subway,폴드포크바비큐샐러드,건강식/샌드위치,7400,165.0,0,7.4,18.1,0,1.6,0,0,446.0,
Subway,로스트치킨샐러드,건강식/샌드위치,7300,138.0,0,8.4,19.3,0,0.8,0,0,363.0,
Subway,로티셰리바비큐치킨샐러드,건강식/샌드위치,7400,165.0,0,7.4,22.4,0,2.0,0,0,299.0,
Subway,쉬림프샐러드,건강식/샌드위치,7600,66.9,0,7.4,6.9,0,0.1,0,0,115.0,
Subway,스파이시이탈리안샐러드,건강식/샌드위치,7300,302.0,0,8.3,14.0,0,8.6,0,0,1008.0,
Subway,스테이크샐러드,건강식/샌드위치,7700,193.0,0,8.4,21.4,0,3.7,0,0,538.0,
Subway,써브웨이클럽샐러드,건강식/샌드위치,7100,138.0,0,8.1,13.0,0,1.8,0,0,554.0,
Subway,베지샐러드,건강식/샌드위치,4900,46.7,0,7.2,2.5,0,0.1,0,0,19.7,
Subway,참치샐러드,건강식/샌드위치,5800,153.0,0,7.3,20.1,0,0.9,0,0,292.0,
Subway,터키샐러드,건강식/샌드위치,6200,97.3,0,8.3,11.6,0,0.4,0,0,429.0,
Subway,터키베이컨아보카도샐러드,건강식/샌드위치,6200,194.0,0,8.6,13.4,0,2.5,0,0,641.0,
