run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,4.734,59,0.112169,0.060554,0.001723,0.064228,3.123954,0.982632,5000000.000000,0.000000,24210.0,핫케익 3조각 | 기순도 발효 대통밥 | 납작복숭아베이스
1,43,40000,201,4.934,44,0.082099,0.097359,0.001548,0.027689,3.126299,0.953241,50.170028,0.000000,96880.0,통새우슈림프버거 | 한우느타리호박무른밥 | 화덕 올리브유 토마토 조각피자
2,44,40000,201,4.801,37,0.125680,0.068722,0.002262,0.070327,3.125186,1.182679,10000000.000000,0.000000,24200.0,쌀 유산균 바게트 | 그린)참치김치볶음밥에그말이 | 치즈와퍼주니어
3,45,40000,201,4.835,41,0.068868,0.058360,0.003047,0.020561,3.125717,1.144081,2000000.000000,0.000000,61200.0,치즈와퍼주니어 | 참치마요듬뿍김밥 | 라자냐
4,46,40000,201,4.849,23,0.098210,0.073351,0.001082,0.052303,3.124991,1.150868,31.473355,0.000000,24000.0,머쉬룸빠네파스타 | 스팸에그버거(마일드) | 오트밀 새싹보리여주맛
5,47,40000,201,4.854,33,0.019621,0.161255,0.002118,0.009975,3.126407,0.992365,5000000.000000,0.000000,37820.0,햄)국민새우버거 | 라자냐 | 삼립)베이컨체다치즈부리또
6,48,40000,201,4.805,61,0.208514,0.052810,0.002137,0.153783,3.125028,1.297717,5000000.000000,0.000000,72250.0,완전영양 통밀식빵 플레인 | 제육소스오므라이스 세트 | 상하이 치킨 스낵랩
7,49,40000,201,4.798,20,0.095515,0.158393,0.000869,0.044999,3.125273,0.601301,25.235312,0.000000,24420.0,참기름닭갈비 | 로스트치킨아보카도샌드위치 | 모둠깨송편
8,50,40000,201,4.700,46,0.074925,0.091537,0.002750,0.048603,3.127508,1.162502,72.304561,0.000000,103830.0,고구마찰떡 | 팔도한끼)감자탕볶음밥 | 화이버파스타 스파게티
9,51,40000,201,4.748,25,0.058524,0.048863,0.001255,0.006127,3.127284,0.916478,65.256199,0.000000,71400.0,치킨샐러드샌드위치 | 유기농 오트밀 가루 입자 스틱 | 닭가슴파프리카당근밥
10,52,40000,201,4.770,38,0.093440,0.070163,0.001165,0.025297,3.125676,1.159151,5000000.000000,0.000000,25080.0,화덕 올리브유 토마토 조각피자 | 참치마요삼각김밥 | 더블살사불고기버거
11,53,40000,201,4.664,42,0.102381,0.038663,0.002629,0.025995,3.125668,0.850528,27.857083,0.000000,24000.0,맥크리스피 디럭스 버거 세트 | 크리스마스 핫 트러플 치즈 버거 | 주)전주비빔주먹볼
12,54,40000,201,4.670,33,0.066240,0.065253,0.001856,0.008440,3.126505,1.128299,2000000.000000,0.000000,23780.0,검정깨찹쌀떡(실온) | 든든한제육돈까스정식 | 더빅피자버거
13,55,40000,201,4.695,26,0.078926,0.075763,0.001925,0.038876,3.124460,1.134609,66.669771,0.000000,24000.0,모시송편대(大)(냉동) | NEW기본김밥 | 케이준치킨샐러드샌드
