group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.054498,0.007483,4.887
G1,1,3.537534,0.023863,0.004053,5.013
G1,2,3.537378,0.011843,0.003417,5.051
G1,3,3.535309,0.035597,0.014237,5.068
G1,4,3.534565,0.054769,0.009339,4.949
G1,5,3.536666,0.006087,0.008277,4.981
G1,6,3.534615,0.077220,0.005484,5.185
G1,7,3.537271,0.030776,0.007392,4.994
G1,8,3.536947,0.036099,0.011344,5.029
G1,9,3.533954,0.049994,0.010219,4.850
G1,10,3.534737,0.056253,0.009973,4.945
G1,11,3.537124,0.020153,0.002769,5.048
G1,12,3.533412,0.021601,0.008160,4.949
G1,13,3.536131,0.040829,0.006845,4.986
G1,14,3.535127,0.031094,0.004392,6.121
G1,15,3.535732,0.115950,0.007125,5.209
G1,16,3.538103,0.012565,0.004919,4.994
G1,17,3.536399,0.070866,0.006651,4.998
G1,18,3.536751,0.015701,0.009395,5.065
G1,19,3.537309,0.016921,0.004416,4.865
G1,20,3.533264,0.020185,0.008246,4.870
G1,21,3.536089,0.026429,0.009622,4.837
G1,22,3.536673,0.036212,0.006135,4.797
G1,23,3.536841,0.039827,0.004016,4.819
G1,24,3.537014,0.045207,0.005586,4.844
G1,25,3.535873,0.056728,0.003332,4.880
G1,26,3.537052,0.010228,0.002549,4.804
G1,27,3.536731,0.015339,0.005619,4.840
G1,28,3.535675,0.020898,0.005411,4.795
G1,29,3.537084,0.017748,0.002309,4.835
G2,0,3.536050,0.006825,0.000813,5.769
G2,1,3.538215,0.000658,0.001148,6.149
G2,2,3.538623,0.002210,0.002113,5.770
G2,3,3.537896,0.002449,0.007405,6.394
G2,4,3.537963,0.008972,0.000982,6.030
G2,5,3.537368,0.001702,0.001878,5.933
G2,6,3.536749,0.010758,0.003610,5.999
G2,7,3.534995,0.001745,0.001961,6.202
G2,8,3.536777,0.005870,0.002595,5.688
G2,9,3.533972,0.008805,0.003392,5.636
G2,10,3.538198,0.005029,0.001445,5.897
G2,11,3.537086,0.005461,0.002515,6.162
G2,12,3.537581,0.001541,0.002136,6.372
G2,13,3.537878,0.001886,0.002517,6.141
G2,14,3.537355,0.002598,0.004302,6.561
G2,15,3.536534,0.006967,0.002998,6.062
G2,16,3.536698,0.002745,0.003343,6.242
G2,17,3.537806,0.003130,0.003720,5.899
G2,18,3.537756,0.005298,0.004126,6.058
G2,19,3.537788,0.010213,0.003086,5.751
G2,20,3.537513,0.004831,0.003882,5.768
G2,21,3.537142,0.004657,0.002983,5.714
G2,22,3.536691,0.005229,0.002470,5.839
G2,23,3.535044,0.007778,0.002850,5.735
G2,24,3.536239,0.003803,0.002902,5.894
G2,25,3.537536,0.011408,0.002325,5.558
G2,26,3.537810,0.004912,0.002762,5.634
G2,27,3.538229,0.009638,0.001669,5.659
G2,28,3.537785,0.004325,0.001457,5.662
G2,29,3.536292,0.004261,0.004623,5.573
G3,0,3.537842,0.005402,0.004944,7.063
G3,1,3.536850,0.024525,0.002733,7.157
G3,2,3.537203,0.003341,0.001434,7.147
G3,3,3.537099,0.009944,0.003419,7.132
G3,4,3.536548,0.008258,0.002032,7.395
G3,5,3.537354,0.008734,0.004177,7.148
G3,6,3.538294,0.011424,0.004237,7.059
G3,7,3.537056,0.006072,0.002372,7.153
G3,8,3.538201,0.007090,0.001283,7.314
G3,9,3.536235,0.007504,0.003268,7.326
G3,10,3.535779,0.003803,0.002317,7.163
G3,11,3.537879,0.015573,0.001798,7.316
G3,12,3.536297,0.009150,0.001697,7.245
G3,13,3.536934,0.006060,0.002273,7.636
G3,14,3.538016,0.002415,0.005177,7.146
G3,15,3.537520,0.002867,0.001794,7.084
G3,16,3.535716,0.008335,0.003578,7.083
G3,17,3.537315,0.007754,0.002470,7.129
G3,18,3.536344,0.005627,0.002691,7.182
G3,19,3.533764,0.002737,0.003892,7.158
G3,20,3.534981,0.005773,0.005372,6.922
G3,21,3.537754,0.004603,0.004600,6.876
G3,22,3.536678,0.003244,0.001662,6.940
G3,23,3.537085,0.006675,0.003472,7.115
G3,24,3.537208,0.008699,0.004858,6.897
G3,25,3.538022,0.017201,0.005378,6.977
G3,26,3.536240,0.008676,0.004079,6.925
G3,27,3.533292,0.019438,0.001741,7.008
G3,28,3.537107,0.000017,0.000130,7.623
G3,29,3.534850,0.013835,0.007524,6.885
