group,run_idx,HV,GD+,IGD+,time_sec
G2,0,0.097993,0.012064,0.000814,5.676
G2,1,0.098103,0.000658,0.001152,5.933
G2,2,0.098116,0.024504,0.002123,5.507
G2,3,0.098063,0.012540,0.007449,5.833
G2,4,0.098085,0.008972,0.000984,5.719
G2,5,0.098058,0.002109,0.001887,5.627
G2,6,0.098019,0.019613,0.003631,5.667
G2,7,0.097947,0.001745,0.001971,5.906
G2,8,0.098029,0.007711,0.002610,5.581
G2,9,0.097878,0.008805,0.003409,5.585
G2,10,0.098078,0.017986,0.001444,5.631
G2,11,0.098036,0.005461,0.002527,5.934
G2,12,0.098068,0.001541,0.002145,6.198
G2,13,0.098069,0.001886,0.002526,5.974
G2,14,0.098064,0.002755,0.004329,5.600
G2,15,0.098020,0.006967,0.003013,5.572
G2,16,0.098026,0.002745,0.003361,5.970
G2,17,0.098066,0.008074,0.003739,5.658
G2,18,0.098052,0.018637,0.004145,5.558
G2,19,0.098053,0.011539,0.003103,5.601
G2,20,0.098042,0.005131,0.003901,5.626
G2,21,0.098040,0.004657,0.002998,5.709
G2,22,0.098026,0.017798,0.002484,5.826
G2,23,0.097927,0.007778,0.002861,5.587
G2,24,0.097995,0.021605,0.002912,5.750
G2,25,0.098003,0.011408,0.002334,5.544
G2,26,0.098088,0.004912,0.002777,5.576
G2,27,0.098059,0.009859,0.001674,5.530
G2,28,0.098080,0.004325,0.001461,5.604
G2,29,0.097992,0.004275,0.004641,5.514
G3_proj,0,0.098066,0.034327,0.004971,6.922
G3_proj,1,0.097991,0.024525,0.002746,6.821
G3_proj,2,0.098051,0.004751,0.001439,6.859
G3_proj,3,0.098019,0.009944,0.003433,6.798
G3_proj,4,0.098004,0.008258,0.002038,7.103
G3_proj,5,0.098037,0.014635,0.004196,6.695
G3_proj,6,0.098050,0.074269,0.004255,6.805
G3_proj,7,0.098014,0.015455,0.002380,6.958
G3_proj,8,0.098111,0.007217,0.001286,7.248
G3_proj,9,0.097962,0.010339,0.003282,7.001
G3_proj,10,0.097986,0.003803,0.002328,7.002
G3_proj,11,0.098023,0.017475,0.001805,6.925
G3_proj,12,0.097989,0.009150,0.001703,6.914
G3_proj,13,0.098027,0.006060,0.002280,6.938
G3_proj,14,0.098048,0.002415,0.005203,6.869
G3_proj,15,0.098072,0.006373,0.001802,6.850
G3_proj,16,0.097952,0.013594,0.003593,6.759
G3_proj,17,0.097974,0.053607,0.002481,6.916
G3_proj,18,0.098005,0.005627,0.002707,6.946
G3_proj,19,0.097867,0.002737,0.003914,6.954
G3_proj,20,0.097919,0.007778,0.005397,7.000
G3_proj,21,0.098079,0.047174,0.004628,6.949
G3_proj,22,0.098030,0.004618,0.001670,6.889
G3_proj,23,0.097968,0.006675,0.003487,6.942
G3_proj,24,0.098033,0.014771,0.004885,6.738
G3_proj,25,0.097987,0.031551,0.005411,6.843
G3_proj,26,0.097993,0.011485,0.004098,6.798
G3_proj,27,0.097760,0.039172,0.001744,6.955
G3_proj,28,0.097999,0.001417,0.000131,7.635
G3_proj,29,0.097883,0.017492,0.007571,6.955
