group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.055256,0.006707,4.899
G1,1,3.537534,0.024278,0.003769,4.835
G1,2,3.537378,0.012185,0.003203,4.966
G1,3,3.535309,0.036184,0.012657,4.860
G1,4,3.534565,0.055149,0.008569,4.867
G1,5,3.536666,0.006113,0.007272,4.901
G1,6,3.534615,0.077669,0.005065,4.867
G1,7,3.537271,0.030959,0.006722,4.881
G1,8,3.536947,0.036333,0.010045,4.896
G1,9,3.533954,0.050167,0.007672,4.816
G1,10,3.534737,0.056157,0.009370,4.877
G1,11,3.537124,0.020178,0.002446,4.837
G1,12,3.533412,0.021931,0.006323,4.872
G1,13,3.536131,0.040871,0.006408,4.807
G1,14,3.535127,0.031192,0.004147,4.943
G1,15,3.535732,0.116036,0.006482,4.907
G1,16,3.538103,0.012294,0.004062,4.883
G1,17,3.536399,0.070915,0.005371,4.863
G1,18,3.536751,0.015726,0.008407,4.915
G1,19,3.537309,0.016757,0.003778,4.857
G1,20,3.533264,0.020177,0.007619,4.874
G1,21,3.536089,0.026968,0.008262,4.885
G1,22,3.536673,0.036379,0.005342,4.846
G1,23,3.536841,0.039651,0.003281,4.789
G1,24,3.537014,0.045334,0.005164,4.890
G1,25,3.535873,0.056829,0.002337,4.812
G1,26,3.537052,0.009529,0.002460,4.893
G1,27,3.536731,0.015187,0.004844,4.820
G1,28,3.535675,0.020938,0.004836,4.859
G1,29,3.537084,0.017819,0.002163,4.945
G2,0,3.536050,0.006760,0.000554,5.835
G2,1,3.538215,0.000530,0.001100,6.052
G2,2,3.538623,0.002200,0.001633,5.630
G2,3,3.537896,0.002433,0.005619,5.986
G2,4,3.537963,0.008903,0.000494,5.906
G2,5,3.537368,0.001529,0.001650,5.627
G2,6,3.536749,0.010866,0.003046,5.810
G2,7,3.534995,0.001598,0.001746,6.053
G2,8,3.536777,0.005716,0.002012,5.670
G2,9,3.533972,0.009432,0.002470,5.689
G2,10,3.538198,0.005037,0.001145,5.736
G2,11,3.537086,0.005262,0.002015,5.990
G2,12,3.537581,0.001520,0.001608,6.320
G2,13,3.537878,0.001864,0.001736,6.199
G2,14,3.537355,0.002604,0.002750,5.787
G2,15,3.536534,0.006972,0.002350,5.671
G2,16,3.536698,0.002734,0.001332,6.049
G2,17,3.537806,0.003110,0.002735,5.726
G2,18,3.537756,0.005241,0.003564,5.886
G2,19,3.537788,0.010221,0.001502,5.829
G2,20,3.537513,0.004794,0.002523,5.780
G2,21,3.537142,0.004629,0.002548,5.745
G2,22,3.536691,0.005196,0.002232,5.761
G2,23,3.535044,0.007895,0.002455,5.730
G2,24,3.536239,0.003774,0.002039,5.847
G2,25,3.537536,0.011379,0.002183,5.628
G2,26,3.537810,0.004856,0.002284,5.687
G2,27,3.538229,0.009474,0.001367,5.674
G2,28,3.537785,0.004182,0.000780,5.771
G2,29,3.536292,0.004292,0.004161,5.617
G3,0,0.014017,0.023419,0.088098,10.769
G3,1,0.014676,0.021191,0.087621,11.841
G3,2,0.026414,0.004808,0.010912,10.008
G3,3,0.013884,0.028806,0.079607,10.477
G3,4,0.014935,0.024439,0.091797,11.252
G3,5,0.017973,0.010625,0.031347,10.383
G3,6,0.020172,0.003988,0.040311,9.904
G3,7,0.016969,0.000000,0.050144,10.138
G3,8,0.018835,0.020556,0.028393,10.024
G3,9,0.023244,0.008513,0.033557,10.268
G3,10,0.014638,0.025551,0.073224,11.077
G3,11,0.023158,0.015031,0.024203,10.116
G3,12,0.015244,0.018851,0.035143,11.158
G3,13,0.019438,0.010456,0.032536,10.981
G3,14,0.021026,0.025127,0.027643,10.391
G3,15,0.018964,0.002072,0.050962,10.900
G3,16,0.019079,0.017329,0.029873,9.653
G3,17,0.019884,0.018602,0.028502,10.443
G3,18,0.008627,0.000224,0.380675,10.147
G3,19,0.004743,0.022248,0.487538,10.917
G3,20,0.016155,0.008466,0.079992,10.199
G3,21,0.018749,0.004362,0.025579,11.000
G3,22,0.014880,0.019525,0.098082,10.752
G3,23,0.016302,0.072007,0.059532,10.500
G3,24,0.020837,0.020856,0.028046,10.254
G3,25,0.018646,0.000092,0.046532,10.571
G3,26,0.010428,0.021919,0.114759,11.323
G3,27,0.017451,0.006471,0.043825,10.594
G3,28,0.007943,0.022748,0.359110,10.226
G3,29,0.013954,0.029912,0.050261,9.984
