group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.055256,0.006707,5.146
G1,1,3.537534,0.024278,0.003769,4.879
G1,2,3.537378,0.012185,0.003203,5.205
G1,3,3.535309,0.036184,0.012657,5.203
G1,4,3.534565,0.055149,0.008569,4.754
G1,5,3.536666,0.006113,0.007272,4.846
G1,6,3.534615,0.077669,0.005065,4.946
G1,7,3.537271,0.030959,0.006722,4.794
G1,8,3.536947,0.036333,0.010045,4.829
G1,9,3.533954,0.050167,0.007672,4.786
G1,10,3.534737,0.056157,0.009370,4.707
G1,11,3.537124,0.020178,0.002446,4.779
G1,12,3.533412,0.021931,0.006323,4.753
G1,13,3.536131,0.040871,0.006408,4.761
G1,14,3.535127,0.031192,0.004147,4.818
G1,15,3.535732,0.116036,0.006482,4.718
G1,16,3.538103,0.012294,0.004062,4.749
G1,17,3.536399,0.070915,0.005371,4.725
G1,18,3.536751,0.015726,0.008407,4.762
G1,19,3.537309,0.016757,0.003778,4.795
G1,20,3.533264,0.020177,0.007619,4.758
G1,21,3.536089,0.026968,0.008262,4.707
G1,22,3.536673,0.036379,0.005342,4.755
G1,23,3.536841,0.039651,0.003281,4.778
G1,24,3.537014,0.045334,0.005164,4.721
G1,25,3.535873,0.056829,0.002337,4.854
G1,26,3.537052,0.009529,0.002460,4.769
G1,27,3.536731,0.015187,0.004844,4.780
G1,28,3.535675,0.020938,0.004836,4.847
G1,29,3.537084,0.017819,0.002163,4.871
G2,0,3.536050,0.006760,0.000554,6.083
G2,1,3.538215,0.000530,0.001100,6.239
G2,2,3.538623,0.002200,0.001633,5.642
G2,3,3.537896,0.002433,0.005619,5.972
G2,4,3.537963,0.008903,0.000494,5.821
G2,5,3.537368,0.001529,0.001650,5.923
G2,6,3.536749,0.010866,0.003046,5.850
G2,7,3.534995,0.001598,0.001746,5.849
G2,8,3.536777,0.005716,0.002012,5.685
G2,9,3.533972,0.009432,0.002470,5.550
G2,10,3.538198,0.005037,0.001145,5.584
G2,11,3.537086,0.005262,0.002015,5.847
G2,12,3.537581,0.001520,0.001608,6.130
G2,13,3.537878,0.001864,0.001736,5.974
G2,14,3.537355,0.002604,0.002750,5.643
G2,15,3.536534,0.006972,0.002350,5.582
G2,16,3.536698,0.002734,0.001332,5.901
G2,17,3.537806,0.003110,0.002735,5.651
G2,18,3.537756,0.005241,0.003564,5.585
G2,19,3.537788,0.010221,0.001502,5.603
G2,20,3.537513,0.004794,0.002523,5.650
G2,21,3.537142,0.004629,0.002548,5.618
G2,22,3.536691,0.005196,0.002232,5.658
G2,23,3.535044,0.007895,0.002455,5.770
G2,24,3.536239,0.003774,0.002039,5.740
G2,25,3.537536,0.011379,0.002183,5.496
G2,26,3.537810,0.004856,0.002284,5.565
G2,27,3.538229,0.009474,0.001367,5.517
G2,28,3.537785,0.004182,0.000780,5.745
G2,29,3.536292,0.004292,0.004161,5.649
G3,0,0.009617,0.008082,0.015736,11.579
G3,1,0.010766,0.003388,0.007072,11.376
G3,2,0.009616,0.010135,0.015419,11.445
G3,3,0.009640,0.018833,0.014949,11.260
G3,4,0.009638,0.019482,0.016698,11.044
G3,5,0.010757,0.008764,0.006055,11.642
G3,6,0.009634,0.006561,0.016347,11.238
G3,7,0.010730,0.003398,0.006035,11.671
G3,8,0.009630,0.040390,0.014930,11.211
G3,9,0.009583,0.019355,0.015793,11.519
G3,10,0.009635,0.007435,0.015190,10.924
G3,11,0.009637,0.004274,0.014857,11.093
G3,12,0.010750,0.004792,0.008533,11.618
G3,13,0.009629,0.010341,0.015280,11.489
G3,14,0.009611,0.018397,0.016384,11.624
G3,15,0.009623,0.002576,0.015441,11.884
G3,16,0.010743,0.006638,0.007292,10.928
G3,17,0.010775,0.004207,0.006923,10.830
G3,18,0.011923,0.000000,0.006872,11.556
G3,19,0.009635,0.019592,0.015464,11.183
G3,20,0.009626,0.007393,0.016832,11.565
G3,21,0.010692,0.010010,0.008958,11.305
G3,22,0.009623,0.001803,0.015532,11.106
G3,23,0.010774,0.004793,0.006532,11.263
G3,24,0.009624,0.003657,0.015478,11.463
G3,25,0.009638,0.019171,0.015282,10.840
G3,26,0.009598,0.005556,0.015339,11.932
G3,27,0.009618,0.004030,0.015204,11.638
G3,28,0.009503,0.014614,0.016550,11.837
G3,29,0.010757,0.004009,0.008496,12.150
