group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.055256,0.006707,4.881
G1,1,3.537534,0.024278,0.003769,4.912
G1,2,3.537378,0.012185,0.003203,4.957
G1,3,3.535309,0.036184,0.012657,4.881
G1,4,3.534565,0.055149,0.008569,4.876
G1,5,3.536666,0.006113,0.007272,4.912
G1,6,3.534615,0.077669,0.005065,4.901
G1,7,3.537271,0.030959,0.006722,4.869
G1,8,3.536947,0.036333,0.010045,4.853
G1,9,3.533954,0.050167,0.007672,4.881
G1,10,3.534737,0.056157,0.009370,4.957
G1,11,3.537124,0.020178,0.002446,4.852
G1,12,3.533412,0.021931,0.006323,4.873
G1,13,3.536131,0.040871,0.006408,4.876
G1,14,3.535127,0.031192,0.004147,4.927
G1,15,3.535732,0.116036,0.006482,4.928
G1,16,3.538103,0.012294,0.004062,4.895
G1,17,3.536399,0.070915,0.005371,4.864
G1,18,3.536751,0.015726,0.008407,4.851
G1,19,3.537309,0.016757,0.003778,4.937
G1,20,3.533264,0.020177,0.007619,4.887
G1,21,3.536089,0.026968,0.008262,4.896
G1,22,3.536673,0.036379,0.005342,4.867
G1,23,3.536841,0.039651,0.003281,4.825
G1,24,3.537014,0.045334,0.005164,4.918
G1,25,3.535873,0.056829,0.002337,4.884
G1,26,3.537052,0.009529,0.002460,4.899
G1,27,3.536731,0.015187,0.004844,4.839
G1,28,3.535675,0.020938,0.004836,4.884
G1,29,3.537084,0.017819,0.002163,4.964
G2,0,3.536050,0.006760,0.000554,5.842
G2,1,3.538215,0.000530,0.001100,5.995
G2,2,3.538623,0.002200,0.001633,5.647
G2,3,3.537896,0.002433,0.005619,6.000
G2,4,3.537963,0.008903,0.000494,5.939
G2,5,3.537368,0.001529,0.001650,5.686
G2,6,3.536749,0.010866,0.003046,5.766
G2,7,3.534995,0.001598,0.001746,6.067
G2,8,3.536777,0.005716,0.002012,5.686
G2,9,3.533972,0.009432,0.002470,5.705
G2,10,3.538198,0.005037,0.001145,5.843
G2,11,3.537086,0.005262,0.002015,5.990
G2,12,3.537581,0.001520,0.001608,6.301
G2,13,3.537878,0.001864,0.001736,6.171
G2,14,3.537355,0.002604,0.002750,5.796
G2,15,3.536534,0.006972,0.002350,5.739
G2,16,3.536698,0.002734,0.001332,6.028
G2,17,3.537806,0.003110,0.002735,5.815
G2,18,3.537756,0.005241,0.003564,5.737
G2,19,3.537788,0.010221,0.001502,5.808
G2,20,3.537513,0.004794,0.002523,5.743
G2,21,3.537142,0.004629,0.002548,5.773
G2,22,3.536691,0.005196,0.002232,5.820
G2,23,3.535044,0.007895,0.002455,5.759
G2,24,3.536239,0.003774,0.002039,5.899
G2,25,3.537536,0.011379,0.002183,5.583
G2,26,3.537810,0.004856,0.002284,5.728
G2,27,3.538229,0.009474,0.001367,5.659
G2,28,3.537785,0.004182,0.000780,5.767
G2,29,3.536292,0.004292,0.004161,5.701
G3,0,0.013750,0.024498,0.247394,9.595
G3,1,0.021720,0.000160,0.016397,9.760
G3,2,0.018173,0.011206,0.037371,8.692
G3,3,0.018620,0.024640,0.033473,9.250
G3,4,0.012272,0.021448,0.331621,9.049
G3,5,0.022481,0.014364,0.026800,9.452
G3,6,0.016548,0.016500,0.048944,7.898
G3,7,0.015053,0.043194,0.063667,8.966
G3,8,0.020400,0.014376,0.025095,9.279
G3,9,0.012909,0.004640,0.055309,9.907
G3,10,0.019090,0.026413,0.032817,8.295
G3,11,0.020765,0.027516,0.068627,8.794
G3,12,0.017384,0.023293,0.048459,7.765
G3,13,0.019758,0.010447,0.026149,9.658
G3,14,0.015664,0.031753,0.166288,9.563
G3,15,0.013476,0.025806,0.096392,9.005
G3,16,0.019312,0.007236,0.024018,8.467
G3,17,0.014550,0.005245,0.057529,9.648
G3,18,0.024185,0.000052,0.013778,9.374
G3,19,0.020857,0.016937,0.030801,8.662
G3,20,0.018888,0.027811,0.040857,9.162
G3,21,0.021117,0.008784,0.040655,8.395
G3,22,0.019843,0.027172,0.069292,8.978
G3,23,0.013627,0.028929,0.235023,9.860
G3,24,0.013701,0.002950,0.078061,10.250
G3,25,0.019935,0.010623,0.025962,8.920
G3,26,0.014281,0.021719,0.060031,9.677
G3,27,0.021402,0.014065,0.021984,8.445
G3,28,0.021369,0.009094,0.022104,8.346
G3,29,0.022223,0.003095,0.124610,8.964
