group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.055256,0.006707,4.908
G1,1,3.537534,0.024278,0.003769,4.893
G1,2,3.537378,0.012185,0.003203,4.983
G1,3,3.535309,0.036184,0.012657,4.954
G1,4,3.534565,0.055149,0.008569,4.813
G1,5,3.536666,0.006113,0.007272,4.906
G1,6,3.534615,0.077669,0.005065,4.891
G1,7,3.537271,0.030959,0.006722,4.829
G1,8,3.536947,0.036333,0.010045,4.900
G1,9,3.533954,0.050167,0.007672,4.838
G1,10,3.534737,0.056157,0.009370,4.875
G1,11,3.537124,0.020178,0.002446,4.899
G1,12,3.533412,0.021931,0.006323,4.883
G1,13,3.536131,0.040871,0.006408,4.909
G1,14,3.535127,0.031192,0.004147,4.936
G1,15,3.535732,0.116036,0.006482,4.925
G1,16,3.538103,0.012294,0.004062,4.901
G1,17,3.536399,0.070915,0.005371,4.899
G1,18,3.536751,0.015726,0.008407,4.862
G1,19,3.537309,0.016757,0.003778,4.946
G1,20,3.533264,0.020177,0.007619,4.851
G1,21,3.536089,0.026968,0.008262,4.914
G1,22,3.536673,0.036379,0.005342,4.867
G1,23,3.536841,0.039651,0.003281,4.832
G1,24,3.537014,0.045334,0.005164,4.941
G1,25,3.535873,0.056829,0.002337,4.913
G1,26,3.537052,0.009529,0.002460,4.925
G1,27,3.536731,0.015187,0.004844,4.920
G1,28,3.535675,0.020938,0.004836,4.884
G1,29,3.537084,0.017819,0.002163,4.985
G2,0,3.536050,0.006760,0.000554,5.825
G2,1,3.538215,0.000530,0.001100,6.000
G2,2,3.538623,0.002200,0.001633,5.652
G2,3,3.537896,0.002433,0.005619,6.009
G2,4,3.537963,0.008903,0.000494,5.901
G2,5,3.537368,0.001529,0.001650,5.612
G2,6,3.536749,0.010866,0.003046,5.815
G2,7,3.534995,0.001598,0.001746,6.068
G2,8,3.536777,0.005716,0.002012,5.678
G2,9,3.533972,0.009432,0.002470,5.703
G2,10,3.538198,0.005037,0.001145,5.759
G2,11,3.537086,0.005262,0.002015,6.026
G2,12,3.537581,0.001520,0.001608,6.324
G2,13,3.537878,0.001864,0.001736,6.186
G2,14,3.537355,0.002604,0.002750,5.770
G2,15,3.536534,0.006972,0.002350,5.750
G2,16,3.536698,0.002734,0.001332,6.014
G2,17,3.537806,0.003110,0.002735,5.837
G2,18,3.537756,0.005241,0.003564,5.757
G2,19,3.537788,0.010221,0.001502,5.832
G2,20,3.537513,0.004794,0.002523,5.816
G2,21,3.537142,0.004629,0.002548,5.719
G2,22,3.536691,0.005196,0.002232,5.849
G2,23,3.535044,0.007895,0.002455,5.773
G2,24,3.536239,0.003774,0.002039,5.917
G2,25,3.537536,0.011379,0.002183,5.711
G2,26,3.537810,0.004856,0.002284,5.738
G2,27,3.538229,0.009474,0.001367,5.674
G2,28,3.537785,0.004182,0.000780,5.739
G2,29,3.536292,0.004292,0.004161,5.740
G3,0,0.003185,0.026073,0.562656,9.931
G3,1,0.004641,0.024725,0.031348,9.460
G3,2,0.006696,0.000513,0.020905,9.693
G3,3,0.004600,0.018921,0.074170,10.269
G3,4,0.006778,0.019054,0.017336,9.028
G3,5,0.006054,0.019147,0.090309,9.451
G3,6,0.008237,0.035363,0.035690,9.493
G3,7,0.004984,0.042954,0.186791,10.053
G3,8,0.003949,0.044188,0.354025,8.611
G3,9,0.007581,0.000259,0.063383,9.499
G3,10,0.008455,0.000901,0.059701,8.779
G3,11,0.005847,0.038122,0.176924,10.251
G3,12,0.004674,0.034445,0.261080,9.081
G3,13,0.005419,0.019181,0.083568,10.218
G3,14,0.003527,0.019337,0.111121,9.985
G3,15,0.008346,0.000150,0.069420,10.000
G3,16,0.003355,0.025911,0.628823,9.700
G3,17,0.006044,0.013411,0.043210,9.268
G3,18,0.009171,0.000105,0.038293,10.090
G3,19,0.003225,0.026961,0.533664,9.522
G3,20,0.005050,0.006140,0.027004,8.945
G3,21,0.010172,0.014747,0.012444,9.407
G3,22,0.006678,0.004081,0.022123,9.440
G3,23,0.005662,0.023066,0.035813,9.271
G3,24,0.005794,0.030284,0.035869,8.272
G3,25,0.006116,0.024338,0.039564,9.813
G3,26,0.005814,0.009118,0.032450,8.798
G3,27,0.006420,0.017908,0.031376,9.685
G3,28,0.006270,0.022419,0.027127,8.187
G3,29,0.005732,0.006163,0.029743,8.557
