group,run_idx,HV,GD+,IGD+,time_sec
G1,0,3.535871,0.055256,0.006707,4.980
G1,1,3.537534,0.024278,0.003769,4.998
G1,2,3.537378,0.012185,0.003203,5.288
G1,3,3.535309,0.036184,0.012657,5.132
G1,4,3.534565,0.055149,0.008569,4.840
G1,5,3.536666,0.006113,0.007272,5.238
G1,6,3.534615,0.077669,0.005065,5.024
G1,7,3.537271,0.030959,0.006722,5.068
G1,8,3.536947,0.036333,0.010045,5.170
G1,9,3.533954,0.050167,0.007672,5.146
G1,10,3.534737,0.056157,0.009370,5.220
G1,11,3.537124,0.020178,0.002446,5.057
G1,12,3.533412,0.021931,0.006323,4.925
G1,13,3.536131,0.040871,0.006408,4.940
G1,14,3.535127,0.031192,0.004147,4.981
G1,15,3.535732,0.116036,0.006482,5.017
G1,16,3.538103,0.012294,0.004062,4.996
G1,17,3.536399,0.070915,0.005371,5.096
G1,18,3.536751,0.015726,0.008407,5.004
G1,19,3.537309,0.016757,0.003778,5.027
G1,20,3.533264,0.020177,0.007619,5.067
G1,21,3.536089,0.026968,0.008262,5.069
G1,22,3.536673,0.036379,0.005342,5.073
G1,23,3.536841,0.039651,0.003281,4.805
G1,24,3.537014,0.045334,0.005164,4.821
G1,25,3.535873,0.056829,0.002337,4.907
G1,26,3.537052,0.009529,0.002460,4.894
G1,27,3.536731,0.015187,0.004844,5.178
G1,28,3.535675,0.020938,0.004836,5.058
G1,29,3.537084,0.017819,0.002163,5.186
G2,0,3.536050,0.006760,0.000554,6.440
G2,1,3.538215,0.000530,0.001100,6.090
G2,2,3.538623,0.002200,0.001633,5.901
G2,3,3.537896,0.002433,0.005619,6.242
G2,4,3.537963,0.008903,0.000494,5.837
G2,5,3.537368,0.001529,0.001650,6.082
G2,6,3.536749,0.010866,0.003046,6.089
G2,7,3.534995,0.001598,0.001746,6.223
G2,8,3.536777,0.005716,0.002012,6.004
G2,9,3.533972,0.009432,0.002470,5.903
G2,10,3.538198,0.005037,0.001145,6.033
G2,11,3.537086,0.005262,0.002015,6.238
G2,12,3.537581,0.001520,0.001608,6.427
G2,13,3.537878,0.001864,0.001736,6.280
G2,14,3.537355,0.002604,0.002750,6.073
G2,15,3.536534,0.006972,0.002350,5.949
G2,16,3.536698,0.002734,0.001332,6.030
G2,17,3.537806,0.003110,0.002735,5.923
G2,18,3.537756,0.005241,0.003564,5.941
G2,19,3.537788,0.010221,0.001502,6.003
G2,20,3.537513,0.004794,0.002523,5.909
G2,21,3.537142,0.004629,0.002548,6.044
G2,22,3.536691,0.005196,0.002232,5.968
G2,23,3.535044,0.007895,0.002455,5.687
G2,24,3.536239,0.003774,0.002039,5.816
G2,25,3.537536,0.011379,0.002183,5.655
G2,26,3.537810,0.004856,0.002284,5.629
G2,27,3.538229,0.009474,0.001367,5.777
G2,28,3.537785,0.004182,0.000780,5.951
G2,29,3.536292,0.004292,0.004161,5.920
G3,0,0.009321,0.044248,0.037292,14.876
G3,1,0.009220,0.007875,0.018632,14.851
G3,2,0.008568,0.038902,0.058966,14.239
G3,3,0.008838,0.013764,0.035533,14.649
G3,4,0.007438,0.064775,0.276072,14.666
G3,5,0.006596,0.019899,0.088160,14.813
G3,6,0.007992,0.042841,0.092946,14.798
G3,7,0.011418,0.002860,0.001904,13.452
G3,8,0.008340,0.007803,0.020376,13.993
G3,9,0.009385,0.007539,0.054297,14.831
G3,10,0.009252,0.040167,0.027711,15.043
G3,11,0.007913,0.030338,0.061209,13.916
G3,12,0.011404,0.007770,0.002414,13.144
G3,13,0.008485,0.003053,0.019432,14.108
G3,14,0.009311,0.024073,0.034890,14.650
G3,15,0.009147,0.005220,0.025316,14.239
G3,16,0.008760,0.002462,0.019035,14.706
G3,17,0.008694,0.015214,0.032185,15.079
G3,18,0.007462,0.032011,0.075795,14.114
G3,19,0.007371,0.021907,0.065771,15.812
G3,20,0.005761,0.019572,0.194709,15.285
G3,21,0.010552,0.007860,0.015600,14.341
G3,22,0.009243,0.006066,0.022992,15.806
G3,23,0.007668,0.015842,0.163920,14.326
G3,24,0.008020,0.020225,0.055007,14.415
G3,25,0.009414,0.003648,0.016079,14.863
G3,26,0.008592,0.035259,0.044058,14.705
G3,27,0.010015,0.001044,0.004272,14.030
G3,28,0.009338,0.018999,0.026525,14.767
G3,29,0.011302,0.020271,0.003371,14.026
